time 2020-12-08 11:16:35
taskNum  10
comp_threshold  0
taskDisMat  0.0 63.387695966961914 68.60029154456998 62.80127387243033 66.60330322138685 97.75479527879949 62.12889826803627 59.53990258641679 70.7248188403477 72.80109889280519 63.387695966961914 0.0 48.662100242385755 87.00574693662483 52.630789467763066 60.74537019394976 11.045361017187261 4.123105625617661 57.271284253105414 51.24451190127583 68.60029154456998 48.662100242385755 0.0 49.658836071740545 5.830951894845301 30.364452901377952 37.656340767525464 49.16299421312742 8.94427190999916 4.242640687119285 62.80127387243033 87.00574693662483 49.658836071740545 0.0 43.86342439892262 74.96665925596525 77.89736837660179 85.44588931013593 43.01162633521314 51.264022471905186 66.60330322138685 52.630789467763066 5.830951894845301 43.86342439892262 0.0 34.52535300326414 41.7612260356422 52.773099207835045 5.0990195135927845 8.0 97.75479527879949 60.74537019394976 30.364452901377952 74.96665925596525 34.52535300326414 0.0 50.99019513592785 63.15853069855251 33.015148038438355 26.68332812825267 62.12889826803627 11.045361017187261 37.656340767525464 77.89736837660179 41.7612260356422 50.99019513592785 0.0 12.36931687685298 46.32493928760188 40.19950248448356 59.53990258641679 4.123105625617661 49.16299421312742 85.44588931013593 52.773099207835045 63.15853069855251 12.36931687685298 0.0 57.55866572463264 52.009614495783374 70.7248188403477 57.271284253105414 8.94427190999916 43.01162633521314 5.0990195135927845 33.015148038438355 46.32493928760188 57.55866572463264 0.0 8.602325267042627 72.80109889280519 51.24451190127583 4.242640687119285 51.264022471905186 8.0 26.68332812825267 40.19950248448356 52.009614495783374 8.602325267042627 0.0

depot_x  50.0
depot_y  50.0
rob_abi  0.035
rob_vel  1

task_x  66.0 73.0 25.0 4.0 22.0 16.0 62.0 74.0 17.0 22.0
task_y  2.0 65.0 57.0 12.0 52.0 86.0 64.0 61.0 53.0 60.0
task_rate  0.07588790598348358 0.066453664674945 0.054898473493327465 0.07452524338785516 0.05738202086140802 0.060389985386460836 0.07293745239785182 0.06904894220549743 0.0679573034206461 0.056088224044858186
task_init_demand  2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455
