time 2020-12-08 11:16:35
taskNum  10
comp_threshold  0
taskDisMat  0.0 69.12307863514182 43.174066289845804 18.788294228055936 49.49747468305833 68.09552114493287 49.47726750741192 1.0 19.209372712298546 62.177166226839255 69.12307863514182 0.0 62.24146527838174 82.34682750416071 99.15644204992432 51.62363799656123 63.13477647065839 69.3757882838098 52.23983154643591 16.97056274847714 43.174066289845804 62.24146527838174 0.0 61.68468205316454 92.57429448826494 90.4267659490264 6.324555320336759 44.14748010928823 30.4138126514911 46.84015371452148 18.788294228055936 82.34682750416071 61.68468205316454 0.0 32.01562118716424 69.12307863514182 68.00735254367721 17.88854381999832 37.013511046643494 78.00640999302557 49.49747468305833 99.15644204992432 92.57429448826494 32.01562118716424 0.0 67.68308503607086 98.84331034521254 48.507731342539614 64.8459713474939 99.6393496566492 68.09552114493287 51.62363799656123 90.4267659490264 69.12307863514182 67.68308503607086 0.0 94.51454914456292 67.60177512462228 63.655321851358195 63.12685640834652 49.47726750741192 63.13477647065839 6.324555320336759 68.00735254367721 98.84331034521254 94.51454914456292 0.0 50.44799302251776 36.124783736376884 47.01063709417264 1.0 69.3757882838098 44.14748010928823 17.88854381999832 48.507731342539614 67.60177512462228 50.44799302251776 0.0 19.849433241279208 62.64982043070834 19.209372712298546 52.23983154643591 30.4138126514911 37.013511046643494 64.8459713474939 63.655321851358195 36.124783736376884 19.849433241279208 0.0 43.46262762420146 62.177166226839255 16.97056274847714 46.84015371452148 78.00640999302557 99.6393496566492 63.12685640834652 47.01063709417264 62.64982043070834 43.46262762420146 0.0

depot_x  50.0
depot_y  50.0
rob_abi  0.035
rob_vel  1

task_x  49.0 66.0 91.0 32.0 0.0 15.0 97.0 48.0 61.0 78.0
task_y  84.0 17.0 74.0 92.0 91.0 25.0 72.0 84.0 69.0 29.0
task_rate  0.05802981116720468 0.06915300752992361 0.07014715790836462 0.07764107463233957 0.06508600463713349 0.07565858373279342 0.07903255163290127 0.07306686244792462 0.0626357551064818 0.058159393927598585
task_init_demand  2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455
