time 2020-12-08 11:16:35
taskNum  10
comp_threshold  0
taskDisMat  0.0 30.01666203960727 59.09314681077663 80.99382692526635 65.29931086925804 43.01162633521314 61.554853586049575 73.49829930005184 14.866068747318506 9.486832980505138 30.01666203960727 0.0 53.33854141237835 57.38466694161429 45.617978911828175 52.20153254455275 45.60701700396552 50.60632371551998 37.33630940518894 33.95585369269929 59.09314681077663 53.33854141237835 0.0 45.12205669071391 28.635642126552707 27.313000567495326 20.12461179749811 39.21734310225516 49.4064773081425 52.478567053607705 80.99382692526635 57.38466694161429 45.12205669071391 0.0 18.110770276274835 69.00724599634447 26.019223662515376 7.615773105863909 78.92401408950256 79.1580697086532 65.29931086925804 45.617978911828175 28.635642126552707 18.110770276274835 0.0 51.0098029794274 8.54400374531753 11.045361017187261 61.71709649683789 62.433965115151864 43.01162633521314 52.20153254455275 27.313000567495326 69.00724599634447 51.0098029794274 0.0 43.04648650006177 62.03224967708329 29.274562336608895 34.058772731852805 61.554853586049575 45.60701700396552 20.12461179749811 26.019223662515376 8.54400374531753 43.04648650006177 0.0 19.4164878389476 56.302753041036986 57.62811813689564 73.49829930005184 50.60632371551998 39.21734310225516 7.615773105863909 11.045361017187261 62.03224967708329 19.4164878389476 0.0 71.30918594402827 71.55417527999327 14.866068747318506 37.33630940518894 49.4064773081425 78.92401408950256 61.71709649683789 29.274562336608895 56.302753041036986 71.30918594402827 0.0 5.385164807134504 9.486832980505138 33.95585369269929 52.478567053607705 79.1580697086532 62.433965115151864 34.058772731852805 57.62811813689564 71.55417527999327 5.385164807134504 0.0

depot_x  0.0
depot_y  0.0
rob_abi  0.035
rob_vel  1

task_x  83.0 82.0 29.0 39.0 41.0 40.0 38.0 42.0 69.0 74.0
task_y  73.0 43.0 49.0 5.0 23.0 74.0 31.0 12.0 78.0 76.0
task_rate  0.05920439231775552 0.07201554255215378 0.13082633632701582 0.09017736544633473 0.07680638175547476 0.13675560509481755 0.12291692649955287 0.05215140777482248 0.05099169633598741 0.1250728739739841
task_init_demand  2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455
