time 2020-12-08 11:16:35
taskNum  5
comp_threshold  0
taskDisMat  0.0 79.30952023559341 70.02856560004639 88.10221336606703 26.248809496813376 79.30952023559341 0.0 29.154759474226502 10.0 65.27633568147036 70.02856560004639 29.154759474226502 0.0 38.07886552931954 66.12866246946176 88.10221336606703 10.0 38.07886552931954 0.0 72.3671196055225 26.248809496813376 65.27633568147036 66.12866246946176 72.3671196055225 0.0

depot_x  0.0
depot_y  0.0
rob_abi  0.035
rob_vel  1

task_x  88.0 15.0 18.0 9.0 80.0
task_y  60.0 29.0 58.0 21.0 35.0
task_rate  0.1256609726499327 0.14046143196053168 0.14940693629158036 0.06868851798254791 0.05435115344250228
task_init_demand  2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455 2.3025850929940455
